State,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
Alaska,0,0,0,0,0,0,0,0,0,0
Alabama,1,0,0,0,0,0,0,0,0,0
Arkansas,1,0,0,0,1,1,0,0,0,0
Arizona,0,0,0,0,0,1,0,0,0,0
California,0,0,0,0,1,1,1,1,1,1
Colorado,0,0,0,0,1,0,0,0,1,1
Connecticut,0,0,0,0,1,1,1,1,1,1
D.C.,1,1,1,1,1,1,1,1,1,1
Delaware,1,0,0,0,1,1,1,1,1,1
Florida,1,0,0,0,0,1,0,0,1,1
Georgia,1,1,0,0,1,0,0,0,0,0
Hawaii,1,1,0,1,1,1,1,1,1,1
Iowa,0,0,0,1,1,1,1,0,1,1
Idaho,0,0,0,0,0,0,0,0,0,0
Illinois,0,0,0,0,1,1,1,1,1,1
Indiana,0,0,0,0,0,0,0,0,1,0
Kansas,0,0,0,0,0,0,0,0,0,0
Kentucky,1,0,0,0,1,1,0,0,0,0
Louisiana,1,0,0,0,1,1,0,0,0,0
Massachusetts,1,0,0,1,1,1,1,1,1,1
Maryland,1,1,0,0,1,1,1,1,1,1
Maine,0,0,0,0,1,1,1,1,1,1
Michigan,0,0,0,0,1,1,1,1,1,1
Minnesota,1,1,1,1,1,1,1,1,1,1
Missouri,1,0,0,0,1,1,0,0,0,0
Mississippi,1,0,0,0,0,0,0,0,0,0
Montana,0,0,0,0,1,0,0,0,0,0
North Carolina,1,0,0,0,0,0,0,0,1,0
North Dakota,0,0,0,0,0,0,0,0,0,0
Nebraska,0,0,0,0,0,0,0,0,0,0
New Hampshire,0,0,0,0,1,1,0,1,1,1
New Jersey,0,0,0,0,1,1,1,1,1,1
New Mexico,0,0,0,0,1,1,1,0,1,1
Nevada,0,0,0,0,1,1,0,0,1,1
New York,1,0,0,1,1,1,1,1,1,1
Ohio,1,0,0,0,1,1,0,0,1,1
Oklahoma,0,0,0,0,0,0,0,0,0,0
Oregon,0,0,0,1,1,1,1,1,1,1
Pennsylvania,1,0,0,0,1,1,1,1,1,1
Rhode Island,1,1,0,1,1,1,1,1,1,1
South Carolina,1,0,0,0,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0,0,0,0,0
Tennessee,1,0,0,0,1,1,0,0,0,0
Texas,1,0,0,0,0,0,0,0,0,0
Utah,0,0,0,0,0,0,0,0,0,0
Virginia,0,0,0,0,0,0,0,0,1,1
Vermont,0,0,0,0,1,1,1,1,1,1
Washington,0,0,0,1,1,1,1,1,1,1
Wisconsin,1,0,0,1,1,1,1,1,1,1
West Virginia,1,1,0,1,1,1,0,0,0,0
Wyoming,0,0,0,0,0,0,0,0,0,0
